word,translation,phonetic,pos,tag,total,spoken_ratio,academic_ratio,cefr_standard,difficulty_level,learning_level,dataset_type
generation,"n. 一代, 一世, 产生\n[医] 生殖, 世代",(.dʒenә'reiʃәn),n,高考 四级 六级 考研 GRE,41345,0.1546257104849437,0.2850646994799855,B2,4,中级,toefl
initial,"n. 字首, 首字母\na. 开始的, 最初的, 字首的\nvt. 用姓名的首字母签名",(i'niʃәl),j,高考 四级 六级 考研 托福 雅思 GRE,20708,0.0980297469576975,0.5068089627197219,B1,3,中级,toefl
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的\nn. 有关教会的事",('spiritʃuәl),j,高考 四级 六级 考研 托福 雅思 GRE,18578,0.0862310259446657,0.4213047690817095,B2,4,中级,toefl
yard,"n. 码, 庭院, 工场\n[化] 堆置场",(jɑ:d),n,中考 高考 四级 六级 考研 雅思,43195,0.0594744762125246,0.056696376895474,A2,2,初级,toefl
newspaper,n. 报纸,('nju:z.peipә),n,中考 高考 雅思,39628,0.181159786009892,0.1443676188553548,B2,4,中级,toefl
terms,"n. 条件, 条款, 费用, 价钱, 关系, 地位, 交谊\n[经] 条件",(),i,雅思,33516,0.3971237617854159,0.3832796276405299,A2,2,初级,toefl
leadership,"n. 领导能力, 领导阶层",('li:dәʃip),n,四级 六级 考研 托福,33290,0.2412736557524782,0.392940823069991,B2,4,中级,toefl
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的",(im'pɒsәbl),j,中考 高考 四级 六级 考研 雅思,24088,0.155388575224178,0.2307372965792095,B1,3,中级,toefl
landscape,"n. 风景, 山水, 风景画\nvi. 从事景观美化\nvt. 美化...景观\n[计] 横向",('lændskeip),n,六级 托福 雅思,21776,0.0512490815576781,0.3275165319617928,B2,4,中级,toefl
useful,"a. 有用的, 有益的\n[机] 有用的, 有效的",('ju:sful),j,中考 高考 四级 六级 考研 雅思,19600,0.0828571428571428,0.4987755102040816,B1,3,中级,toefl
childhood,n. 孩童时期\n[医] 儿童期,('tʃaildhud),n,高考 四级 考研,17775,0.1226441631504922,0.2768495077355837,B2,4,中级,toefl
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱\nvt. 拂去灰尘, 撒, 弄成粉末\nvi. 拂去灰尘, 化为粉末",(dʌst),n,高考 四级 六级 考研 雅思,16598,0.0618749246897216,0.1103144957223761,A2,2,初级,toefl
unlike,"a. 不像的, 不同的\nprep. 不像, 和...不同",(.ʌn'laik),i,高考 四级 六级 考研,14248,0.1104716451431779,0.2589135317237507,B1,3,中级,toefl
