word,translation,phonetic,pos,tag,total,spoken_ratio,academic_ratio,cefr_standard,difficulty_level,learning_level,dataset_type
generation,"n. 一代, 一世, 产生\n[医] 生殖, 世代",(.dʒenә'reiʃәn),n,高考 四级 六级 考研 GRE,41345,0.1546257104849437,0.2850646994799855,B2,4,中级,gre
initial,"n. 字首, 首字母\na. 开始的, 最初的, 字首的\nvt. 用姓名的首字母签名",(i'niʃәl),j,高考 四级 六级 考研 托福 雅思 GRE,20708,0.0980297469576975,0.5068089627197219,B1,3,中级,gre
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的\nn. 有关教会的事",('spiritʃuәl),j,高考 四级 六级 考研 托福 雅思 GRE,18578,0.0862310259446657,0.4213047690817095,B2,4,中级,gre
yard,"n. 码, 庭院, 工场\n[化] 堆置场",(jɑ:d),n,中考 高考 四级 六级 考研 雅思,43195,0.0594744762125246,0.056696376895474,A2,2,初级,gre
newspaper,n. 报纸,('nju:z.peipә),n,中考 高考 雅思,39628,0.181159786009892,0.1443676188553548,B2,4,中级,gre
terms,"n. 条件, 条款, 费用, 价钱, 关系, 地位, 交谊\n[经] 条件",(),i,雅思,33516,0.3971237617854159,0.3832796276405299,A2,2,初级,gre
leadership,"n. 领导能力, 领导阶层",('li:dәʃip),n,四级 六级 考研 托福,33290,0.2412736557524782,0.392940823069991,B2,4,中级,gre
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的",(im'pɒsәbl),j,中考 高考 四级 六级 考研 雅思,24088,0.155388575224178,0.2307372965792095,B1,3,中级,gre
landscape,"n. 风景, 山水, 风景画\nvi. 从事景观美化\nvt. 美化...景观\n[计] 横向",('lændskeip),n,六级 托福 雅思,21776,0.0512490815576781,0.3275165319617928,B2,4,中级,gre
useful,"a. 有用的, 有益的\n[机] 有用的, 有效的",('ju:sful),j,中考 高考 四级 六级 考研 雅思,19600,0.0828571428571428,0.4987755102040816,B1,3,中级,gre
childhood,n. 孩童时期\n[医] 儿童期,('tʃaildhud),n,高考 四级 考研,17775,0.1226441631504922,0.2768495077355837,B2,4,中级,gre
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱\nvt. 拂去灰尘, 撒, 弄成粉末\nvi. 拂去灰尘, 化为粉末",(dʌst),n,高考 四级 六级 考研 雅思,16598,0.0618749246897216,0.1103144957223761,A2,2,初级,gre
unlike,"a. 不像的, 不同的\nprep. 不像, 和...不同",(.ʌn'laik),i,高考 四级 六级 考研,14248,0.1104716451431779,0.2589135317237507,B1,3,中级,gre
bullet,"n. 子弹\n[医] 弹, 子弹, 距节(马)",('bulit),n,四级 考研,12500,0.20552,0.05112,B1,3,中级,gre
honey,"n. 蜂蜜, 甜蜜, 爱人\na. 蜂蜜似的, 甜蜜的, 甘美的\nvt. 加蜜使甜, 对...说甜言蜜语\nvi. 说甜言蜜语, 奉承",('hʌni),n,高考 四级 考研,12068,0.1475803778588001,0.0484753065959562,A2,2,初级,gre
tribe,"n. 宗族, 部落, 一群人\n[医] 族(生物分类)",(traib),n,四级 六级 考研 托福 雅思,11703,0.1054430487909083,0.3940869862428437,A2,2,初级,gre
discourse,"n. 谈话, 演讲\nvi. 谈话, 讲述",('diskɒ:s),n,六级 考研 托福 GRE,11243,0.0358445254825224,0.8495953037445522,B2,4,中级,gre
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养\n[计] 维护; 维修",('meintәnәns),n,四级 六级 考研 托福 雅思 GRE,10835,0.0733733271804337,0.3861559760036917,B2,4,中级,gre
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人\na. 主要的, 最重要的, 首要的",('prinsipәl),n,四级 六级 考研 托福 雅思 GRE,10823,0.1163263420493393,0.3675505867134805,B2,4,中级,gre
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质\nv. (使)成谷粒",(grein),n,高考 四级 六级 考研 托福 雅思 GRE,10221,0.0797377947363271,0.1914685451521377,A2,2,初级,gre
hurricane,"n. 飓风, 暴风, 暴风雨",('hә:rikәn),n,高考 六级 考研 托福 雅思 GRE,10061,0.3036477487327303,0.1070470132193618,B2,4,中级,gre
grave,"n. 墓穴, 坟墓, 终结, 死亡\na. 庄重的, 严肃的, 重大的, 低沉的\nvt. 雕刻",(greiv),n,四级 六级 考研 雅思 GRE,9911,0.1215820805165977,0.1328826556351528,A2,2,初级,gre
regulate,"vt. 管理, 控制, 调节, 调整, 校准\n[经] 控制, 管理",('regjuleit),v,四级 六级 考研 托福 雅思 GRE,9554,0.1498848649780196,0.4155327611471635,B1,3,中级,gre
script,"n. 手迹, 手稿, 正本, 手写体\nvt. 改编为演出本\n[计] 手写体, 小型程序",(skript),n,六级 考研 雅思 GRE,9500,0.1901052631578947,0.168,B1,3,中级,gre
compound,"n. 混合物, 复合词, 化合物, 院子\na. 复合的, 混合的, 化合的\nvi. 化合, 和解, 妥协\nvt. 使复合, 使化合",(kәm'paund),n,四级 六级 考研 托福 雅思 GRE,9171,0.1730454694144586,0.2490459055719114,B1,3,中级,gre
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂\nvt. 租用, 租出\nvi. 出租\na. 分裂的, 破裂的\nrend的过去式和过去分词",(rent),v,高考 四级 六级 考研 托福 雅思 GRE,9119,0.1277552363197719,0.0697444895273604,A2,2,初级,gre
