word,translation,phonetic,pos,tag,total,spoken_ratio,academic_ratio,cefr_standard,difficulty_level,learning_level,dataset_type
produce,"n. 生产品, 物产, 后代\nvt. 产生, 生产, 提出, 出示\nvi. 生产, 制造",(prә'dju:s),v,中考 高考 四级 六级 考研 托福 GRE,79127,0.100799979779342,0.3589798678074488,B1,3,中级,cet6
guy,"n. 家伙, 支索\nvt. 用支索撑住, 取笑, 嘲弄\nvi. 逃跑",(gai),n,四级 考研 雅思 GRE,127711,0.368088888192873,0.013021587803713,A1,1,初级,cet6
accident,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",('æksidәnt),n,中考 高考 四级 考研 托福,22810,0.2491889522139412,0.1102148180622534,B1,3,中级,cet6
torch,"n. 火把, 启发之物\n[化] 火炬",(tɒ:tʃ),n,四级 六级 考研 雅思,2924,0.1015731874145006,0.0612175102599179,A2,2,初级,cet6
postcard,n. 明信片,('pәustkɑ:d),n,中考 高考 考研 托福,2939,0.1476692752636951,0.1657026199387546,B1,3,中级,cet6
infectious,"a. 有传染性的, 易传染的\n[医] 传染性的",(in'fekʃәs),j,六级 考研 托福 雅思,2971,0.1494446314372265,0.3372601817569842,B2,4,中级,cet6
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量\nvi. 交易, 做买卖\nvt. 用...作交换\n[计] 通信量, 传输量",('træfik),n,中考 高考 四级 六级 考研 托福 雅思,22917,0.1418161190382685,0.0954749749094558,B1,3,中级,cet6
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人\nvi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏\nvt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝\na. 滑动的, 滑移的, 活络的, 有活结的\n[计] 串行线接口协议",(slip),v,高考 四级 六级 考研 托福 雅思,22942,0.0759306076192136,0.0448086478946909,A2,2,初级,cet6
beauty,"n. 美, 美人",('bju:ti),n,高考 四级 考研 雅思,23218,0.1082780601257644,0.1502713412007925,B1,3,中级,cet6
cash,n. 现金\nvt. 兑现,(kæʃ),n,高考 四级 考研 雅思,23227,0.1443148060446893,0.0867524863305635,A2,2,初级,cet6
merry,"a. 快乐的, 愉快的, 嬉戏作乐的",('meri),j,高考 四级 六级 考研,2872,0.2677576601671309,0.032033426183844,A2,2,初级,cet6
periodically,"adv. 定期, 循环, 间歇, 周期, 定期刊行, 期刊","(, piәri'ɔdikəli)",r,雅思,2876,0.0855354659248956,0.327538247566064,B2,4,中级,cet6
